"","Date","Athlete","X45.Degrees.Adduction..LEFT.","X45.Degrees.Adduction..RIGHT."
"1","4/12/2017","Gus Smith",294,297
"2","7/12/2017","Gus Smith",310,315
"3","9/12/2017","Gus Smith",349,360
"4","9/12/2017","Gus Smith",433,412
"5","11/12/2017","Gus Smith",303,307
"6","11/12/2017","Gus Smith",474,457
"7","14/12/2017","Gus Smith",345,354
"8","16/12/2017","Gus Smith",325,336
"9","18/12/2017","Gus Smith",358,395
"10","9/01/2018","Gus Smith",366,373
"11","11/01/2018","Gus Smith",328,331
"12","18/01/2018","Gus Smith",281,278
"13","20/01/2018","Gus Smith",351,375
"14","22/01/2018","Gus Smith",351,367
"15","25/01/2018","Gus Smith",357,357
"16","28/01/2018","Gus Smith",399,392
"17","7/02/2018","Gus Smith",360,391
"18","9/02/2018","Gus Smith",375,379
"19","12/02/2018","Gus Smith",361,389
"20","15/02/2018","Gus Smith",365,381
"21","20/02/2018","Gus Smith",387,391
"22","22/02/2018","Gus Smith",375,394
"23","27/02/2018","Gus Smith",349,363
"24","1/03/2018","Gus Smith",377,397
"25","6/03/2018","Gus Smith",349,364
"26","8/03/2018","Gus Smith",368,414
"27","16/03/2018","Gus Smith",374,395
"28","19/03/2018","Gus Smith",374,408
"29","22/03/2018","Gus Smith",364,393
"30","27/03/2018","Gus Smith",382,420
"31","29/03/2018","Gus Smith",387,391
"32","3/04/2018","Gus Smith",396,421
"33","5/04/2018","Gus Smith",408,438
"34","10/04/2018","Gus Smith",351,357
"35","12/04/2018","Gus Smith",274,273
"36","17/04/2018","Gus Smith",317,325
"37","19/04/2018","Gus Smith",285,280
"38","1/05/2018","Gus Smith",279,292
"39","3/05/2018","Gus Smith",335,347
"40","8/05/2018","Gus Smith",351,369
"41","10/05/2018","Gus Smith",379,380
"42","16/05/2018","Gus Smith",367,382
"43","16/05/2018","Gus Smith",485,502
"44","22/05/2018","Gus Smith",394,404
"45","24/05/2018","Gus Smith",368,387
"46","29/05/2018","Gus Smith",398,422
"47","31/05/2018","Gus Smith",372,398
"48","6/06/2018","Gus Smith",342,381
"49","11/06/2018","Gus Smith",445,439
"50","13/06/2018","Gus Smith",301,308
"51","19/06/2018","Gus Smith",308,309
"52","21/06/2018","Gus Smith",333,359
"53","27/06/2018","Gus Smith",351,363
"54","3/07/2018","Gus Smith",331,332
"55","5/07/2018","Gus Smith",365,381
"56","14/11/2017","Dudley Jones",315,312
"57","20/11/2017","Dudley Jones",318,316
"58","27/11/2017","Dudley Jones",310,307
"59","30/11/2017","Dudley Jones",327,328
"60","4/12/2017","Dudley Jones",365,360
"61","7/12/2017","Dudley Jones",346,363
"62","11/12/2017","Dudley Jones",306,322
"63","14/12/2017","Dudley Jones",293,313
"64","18/12/2017","Dudley Jones",345,357
"65","9/01/2018","Dudley Jones",301,317
"66","11/01/2018","Dudley Jones",295,302
"67","15/01/2018","Dudley Jones",317,323
"68","22/01/2018","Dudley Jones",355,348
"69","28/01/2018","Dudley Jones",377,377
"70","30/01/2018","Dudley Jones",281,283
"71","7/02/2018","Dudley Jones",343,382
"72","9/02/2018","Dudley Jones",333,349
"73","12/02/2018","Dudley Jones",299,297
"74","15/02/2018","Dudley Jones",322,341
"75","17/02/2018","Dudley Jones",347,365
"76","20/02/2018","Dudley Jones",312,327
"77","22/02/2018","Dudley Jones",319,333
"78","27/02/2018","Dudley Jones",329,343
"79","1/03/2018","Dudley Jones",335,351
"80","6/03/2018","Dudley Jones",335,356
"81","8/03/2018","Dudley Jones",329,338
"82","16/03/2018","Dudley Jones",333,347
"83","19/03/2018","Dudley Jones",347,359
"84","22/03/2018","Dudley Jones",329,335
"85","27/03/2018","Dudley Jones",323,333
"86","29/03/2018","Dudley Jones",352,354
"87","3/04/2018","Dudley Jones",409,414
"88","5/04/2018","Dudley Jones",400,401
"89","10/04/2018","Dudley Jones",355,376
"90","12/04/2018","Dudley Jones",346,365
"91","17/04/2018","Dudley Jones",329,344
"92","19/04/2018","Dudley Jones",333,354
"93","25/04/2018","Dudley Jones",300,305
"94","25/04/2018","Dudley Jones",333,346
"95","1/05/2018","Dudley Jones",322,339
"96","3/05/2018","Dudley Jones",298,309
"97","8/05/2018","Dudley Jones",305,315
"98","10/05/2018","Dudley Jones",308,330
"99","16/05/2018","Dudley Jones",346,369
"100","22/05/2018","Dudley Jones",334,351
"101","13/06/2018","Dudley Jones",280,291
"102","14/11/2017","Bobby Lewis",409,415
"103","25/11/2017","Bobby Lewis",446,443
"104","27/11/2017","Bobby Lewis",471,465
"105","30/11/2017","Bobby Lewis",420,429
"106","4/12/2017","Bobby Lewis",473,481
"107","7/12/2017","Bobby Lewis",433,435
"108","11/12/2017","Bobby Lewis",468,468
"109","14/12/2017","Bobby Lewis",415,420
"110","18/12/2017","Bobby Lewis",444,442
"111","9/01/2018","Bobby Lewis",473,490
"112","11/01/2018","Bobby Lewis",427,439
"113","15/01/2018","Bobby Lewis",471,473
"114","18/01/2018","Bobby Lewis",460,466
"115","22/01/2018","Bobby Lewis",449,458
"116","25/01/2018","Bobby Lewis",483,482
"117","28/01/2018","Bobby Lewis",480,472
"118","30/01/2018","Bobby Lewis",368,367
"119","7/02/2018","Bobby Lewis",471,476
"120","9/02/2018","Bobby Lewis",497,485
"121","12/02/2018","Bobby Lewis",494,508
"122","15/02/2018","Bobby Lewis",497,473
"123","17/02/2018","Bobby Lewis",445,430
"124","20/02/2018","Bobby Lewis",405,405
"125","27/02/2018","Bobby Lewis",480,484
"126","1/03/2018","Bobby Lewis",500,449
"127","6/03/2018","Bobby Lewis",482,486
"128","8/03/2018","Bobby Lewis",504,477
"129","13/03/2018","Bobby Lewis",502,466
"130","16/03/2018","Bobby Lewis",469,474
"131","19/03/2018","Bobby Lewis",500,500
"132","22/03/2018","Bobby Lewis",486,479
"133","27/03/2018","Bobby Lewis",451,467
"134","29/03/2018","Bobby Lewis",478,478
"135","3/04/2018","Bobby Lewis",467,472
"136","5/04/2018","Bobby Lewis",495,475
"137","10/04/2018","Bobby Lewis",446,443
"138","12/04/2018","Bobby Lewis",479,484
"139","19/04/2018","Bobby Lewis",455,462
"140","25/04/2018","Bobby Lewis",454,479
"141","1/05/2018","Bobby Lewis",453,463
"142","3/05/2018","Bobby Lewis",419,446
"143","8/05/2018","Bobby Lewis",463,471
"144","10/05/2018","Bobby Lewis",486,500
"145","16/05/2018","Bobby Lewis",436,473
"146","22/05/2018","Bobby Lewis",487,486
"147","29/05/2018","Bobby Lewis",463,487
"148","31/05/2018","Bobby Lewis",471,462
"149","6/06/2018","Bobby Lewis",445,475
"150","11/06/2018","Bobby Lewis",467,500
"151","19/06/2018","Bobby Lewis",502,481
"152","21/06/2018","Bobby Lewis",477,484
"153","27/06/2018","Bobby Lewis",492,481
"154","30/11/2017","Tom Rivers",445,441
"155","7/12/2017","Tom Rivers",431,430
"156","11/12/2017","Tom Rivers",445,453
"157","14/12/2017","Tom Rivers",456,445
"158","18/12/2017","Tom Rivers",475,482
"159","9/01/2018","Tom Rivers",504,505
"160","11/01/2018","Tom Rivers",459,469
"161","15/01/2018","Tom Rivers",499,505
"162","18/01/2018","Tom Rivers",539,549
"163","22/01/2018","Tom Rivers",503,522
"164","25/01/2018","Tom Rivers",521,514
"165","28/01/2018","Tom Rivers",533,536
"166","30/01/2018","Tom Rivers",502,497
"167","7/02/2018","Tom Rivers",487,499
"168","9/02/2018","Tom Rivers",482,485
"169","12/02/2018","Tom Rivers",507,516
"170","15/02/2018","Tom Rivers",552,546
"171","20/02/2018","Tom Rivers",515,511
"172","22/02/2018","Tom Rivers",484,481
"173","27/02/2018","Tom Rivers",512,494
"174","1/03/2018","Tom Rivers",544,538
"175","6/03/2018","Tom Rivers",558,575
"176","8/03/2018","Tom Rivers",523,532
"177","16/03/2018","Tom Rivers",505,506
"178","19/03/2018","Tom Rivers",525,512
"179","22/03/2018","Tom Rivers",567,532
"180","27/03/2018","Tom Rivers",482,479
"181","29/03/2018","Tom Rivers",500,515
"182","3/04/2018","Tom Rivers",501,542
"183","5/04/2018","Tom Rivers",516,518
"184","10/04/2018","Tom Rivers",479,502
"185","12/04/2018","Tom Rivers",489,504
"186","17/04/2018","Tom Rivers",537,545
"187","19/04/2018","Tom Rivers",519,523
"188","25/04/2018","Tom Rivers",510,516
"189","1/05/2018","Tom Rivers",491,482
"190","3/05/2018","Tom Rivers",508,521
"191","8/05/2018","Tom Rivers",NA,NA
"192","8/05/2018","Tom Rivers",490,501
"193","10/05/2018","Tom Rivers",455,469
"194","16/05/2018","Tom Rivers",526,537
"195","22/05/2018","Tom Rivers",485,469
"196","29/05/2018","Tom Rivers",486,488
"197","31/05/2018","Tom Rivers",488,481
"198","6/06/2018","Tom Rivers",463,472
"199","11/06/2018","Tom Rivers",519,511
"200","19/06/2018","Tom Rivers",513,487
"201","21/06/2018","Tom Rivers",557,557
"202","27/06/2018","Tom Rivers",537,517
"203","5/07/2018","Tom Rivers",501,487
"204","14/11/2017","Hudson Lee",335,364
"205","20/11/2017","Hudson Lee",403,406
"206","25/11/2017","Hudson Lee",399,433
"207","27/11/2017","Hudson Lee",351,380
"208","30/11/2017","Hudson Lee",409,412
"209","4/12/2017","Hudson Lee",369,385
"210","7/12/2017","Hudson Lee",409,439
"211","11/12/2017","Hudson Lee",405,422
"212","14/12/2017","Hudson Lee",450,465
"213","18/12/2017","Hudson Lee",406,435
"214","9/01/2018","Hudson Lee",365,397
"215","11/01/2018","Hudson Lee",423,440
"216","15/01/2018","Hudson Lee",405,437
"217","18/01/2018","Hudson Lee",438,466
"218","28/01/2018","Hudson Lee",398,392
"219","12/02/2018","Hudson Lee",375,396
"220","17/02/2018","Hudson Lee",386,417
"221","20/02/2018","Hudson Lee",375,406
"222","22/02/2018","Hudson Lee",397,415
"223","27/02/2018","Hudson Lee",418,441
"224","1/03/2018","Hudson Lee",425,463
"225","6/03/2018","Hudson Lee",408,421
"226","8/03/2018","Hudson Lee",477,484
"227","16/03/2018","Hudson Lee",451,466
"228","19/03/2018","Hudson Lee",457,485
"229","22/03/2018","Hudson Lee",451,482
"230","27/03/2018","Hudson Lee",385,410
"231","29/03/2018","Hudson Lee",440,447
"232","3/04/2018","Hudson Lee",393,425
"233","5/04/2018","Hudson Lee",467,496
"234","12/04/2018","Hudson Lee",375,377
"235","1/05/2018","Hudson Lee",375,388
"236","3/05/2018","Hudson Lee",424,446
"237","8/05/2018","Hudson Lee",407,440
"238","10/05/2018","Hudson Lee",408,423
"239","16/05/2018","Hudson Lee",433,444
"240","22/05/2018","Hudson Lee",400,427
"241","24/05/2018","Hudson Lee",396,422
"242","29/05/2018","Hudson Lee",444,452
"243","31/05/2018","Hudson Lee",407,440
"244","6/06/2018","Hudson Lee",394,428
"245","11/06/2018","Hudson Lee",428,440
"246","13/06/2018","Hudson Lee",404,416
"247","19/06/2018","Hudson Lee",418,426
"248","21/06/2018","Hudson Lee",428,449
"249","3/07/2018","Hudson Lee",430,422
"250","5/07/2018","Hudson Lee",426,420
"251","","",NA,NA
"252","","",NA,NA
"253","","",NA,NA
"254","","",NA,NA
"255","","",NA,NA
"256","","",NA,NA
"257","","",NA,NA
"258","","",NA,NA
"259","","",NA,NA
"260","","",NA,NA
"261","","",NA,NA
"262","","",NA,NA
"263","","",NA,NA
"264","","",NA,NA
"265","","",NA,NA
"266","","",NA,NA
"267","","",NA,NA
"268","","",NA,NA
"269","","",NA,NA
"270","","",NA,NA
"271","","",NA,NA
"272","","",NA,NA
"273","","",NA,NA
"274","","",NA,NA
"275","","",NA,NA
"276","","",NA,NA
"277","","",NA,NA
"278","","",NA,NA
"279","","",NA,NA
"280","","",NA,NA
"281","","",NA,NA
"282","","",NA,NA
"283","","",NA,NA
"284","","",NA,NA
"285","","",NA,NA
"286","","",NA,NA
"287","","",NA,NA
"288","","",NA,NA
"289","","",NA,NA
"290","","",NA,NA
"291","","",NA,NA
"292","","",NA,NA
"293","","",NA,NA
"294","","",NA,NA
"295","","",NA,NA
"296","","",NA,NA
"297","","",NA,NA
"298","","",NA,NA
"299","","",NA,NA
"300","","",NA,NA
"301","","",NA,NA
"302","","",NA,NA
"303","","",NA,NA
"304","","",NA,NA
"305","","",NA,NA
"306","","",NA,NA
"307","","",NA,NA
"308","","",NA,NA
"309","","",NA,NA
"310","","",NA,NA
"311","","",NA,NA
"312","","",NA,NA
"313","","",NA,NA
